Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,1.8,2.028,2.24,2.527,3.161,3.792,4.424,5.049,5.67,6.285,6.941,7.591,8.248,8.903,9.556,10.239,10.935,11.617,12.299,12.998,13.696,14.393,15.09,15.788,16.485,17.183,17.88,18.578,19.275,19.973,NPgN,Primary,NPg Planning Scenario,Total installed renewable generation capacity (MW)
AMBERTON ROAD,1.719,1.876,2.088,2.369,2.946,3.516,4.086,4.659,5.235,5.813,6.441,7.072,7.7,8.329,8.959,9.575,10.185,10.801,11.418,12.061,12.705,13.349,13.994,14.638,15.282,15.926,16.571,17.215,17.86,18.505,NPgN,Primary,NPg Planning Scenario,Total installed renewable generation capacity (MW)
ANNFIELD 66/20KV,14.104,14.293,14.532,14.851,15.521,16.191,16.862,17.532,18.201,18.869,19.589,20.307,21.028,21.748,22.469,23.195,23.925,24.653,25.38,26.133,26.886,27.639,28.392,29.146,29.9,30.654,31.409,32.164,32.919,33.674,NPgN,Primary,NPg Planning Scenario,Total installed renewable generation capacity (MW)
ASHINGTON,5.907,6.192,6.542,7.009,7.991,8.988,9.986,10.981,11.972,12.959,14.02,15.077,16.14,17.203,18.266,19.355,20.457,21.548,22.64,23.766,24.892,26.02,27.148,28.278,29.409,30.542,31.676,32.811,33.947,35.085,NPgN,Primary,NPg Planning Scenario,Total installed renewable generation capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,NPgN,Primary,NPg Planning Scenario,Total installed renewable generation capacity (MW)
AYCLIFFE INDUSTRIAL,0.934,1.013,1.11,1.239,1.519,1.795,2.07,2.345,2.619,2.893,3.186,3.479,3.773,4.067,4.361,4.66,4.961,5.26,5.559,5.868,6.177,6.486,6.795,7.104,7.413,7.722,8.032,8.341,8.651,8.961,NPgN,Primary,NPg Planning Scenario,Total installed renewable generation capacity (MW)
BARDEN FRIAR,0.063,0.072,0.087,0.105,0.138,0.172,0.206,0.241,0.276,0.313,0.354,0.396,0.437,0.478,0.52,0.556,0.591,0.628,0.665,0.705,0.745,0.785,0.826,0.866,0.906,0.947,0.987,1.028,1.068,1.109,NPgN,Primary,NPg Planning Scenario,Total installed renewable generation capacity (MW)
BEDALE,2.761,2.893,3.08,3.322,3.811,4.293,4.775,5.262,5.753,6.248,6.789,7.333,7.874,8.416,8.96,9.484,9.999,10.525,11.05,11.601,12.154,12.707,13.26,13.814,14.368,14.922,15.477,16.032,16.588,17.144,NPgN,Primary,NPg Planning Scenario,Total installed renewable generation capacity (MW)
BELMONT,1.395,1.531,1.711,1.949,2.442,2.931,3.421,3.912,4.405,4.899,5.434,5.971,6.506,7.042,7.579,8.11,8.638,9.169,9.7,10.253,10.807,11.361,11.914,12.469,13.023,13.577,14.132,14.687,15.242,15.798,NPgN,Primary,NPg Planning Scenario,Total installed renewable generation capacity (MW)
BENSHAM,0.398,0.5,0.626,0.795,1.132,1.492,1.852,2.211,2.569,2.925,3.308,3.689,4.072,4.455,4.838,5.227,5.619,6.009,6.398,6.8,7.201,7.602,8.004,8.405,8.806,9.208,9.609,10.011,10.412,10.814,NPgN,Primary,NPg Planning Scenario,Total installed renewable generation capacity (MW)
