Primary,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,2.1,2.368,2.639,2.959,3.322,3.711,4.119,4.55,5.047,5.579,6.072,6.611,7.144,7.617,8.18,8.737,9.338,9.954,10.6,11.248,11.915,12.57,13.244,13.923,14.571,15.265,15.956,16.678,NPgN,Primary,NPg Reference Scenario,Total installed generation capacity (MW)
AMBERTON ROAD,4.44,4.711,5.011,5.388,5.86,6.382,6.952,7.576,8.19,8.842,8.905,8.328,8.233,8.852,9.546,10.244,10.984,11.747,12.541,13.344,14.155,14.976,15.798,16.628,17.466,18.309,19.174,20.052,NPgN,Primary,NPg Reference Scenario,Total installed generation capacity (MW)
ANNFIELD 66/20KV,15.904,16.251,16.612,17.035,17.507,18.024,18.593,19.201,19.828,20.496,21.046,21.535,22.099,22.718,23.427,24.152,24.916,25.718,26.531,27.358,28.191,29.041,29.9,30.752,31.593,32.468,33.362,34.272,NPgN,Primary,NPg Reference Scenario,Total installed generation capacity (MW)
ASHINGTON,10.316,10.792,11.282,11.856,12.497,13.193,13.997,14.828,15.69,16.61,17.128,17.275,17.731,18.551,19.494,20.499,21.553,22.719,23.808,24.925,26.031,27.199,28.4,29.491,30.525,31.617,32.808,34.038,NPgN,Primary,NPg Reference Scenario,Total installed generation capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.003,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.005,0.005,0.005,0.006,0.006,0.006,0.007,0.007,NPgN,Primary,NPg Reference Scenario,Total installed generation capacity (MW)
AYCLIFFE INDUSTRIAL,1.254,1.389,1.528,1.692,1.877,2.079,2.3,2.535,2.782,3.046,3.296,3.566,3.835,4.077,4.357,4.643,4.944,5.261,5.581,5.908,6.237,6.571,6.911,7.247,7.577,7.922,8.275,8.635,NPgN,Primary,NPg Reference Scenario,Total installed generation capacity (MW)
BARDEN FRIAR,0.07,0.088,0.111,0.141,0.183,0.231,0.286,0.347,0.4,0.455,0.509,0.566,0.624,0.68,0.739,0.801,0.865,0.934,1.002,1.071,1.139,1.213,1.284,1.354,1.429,1.501,1.578,1.652,NPgN,Primary,NPg Reference Scenario,Total installed generation capacity (MW)
BEDALE,8.501,8.85,9.214,9.625,10.052,10.527,11.067,11.653,11.901,12.042,12.003,11.72,10.497,11.04,11.627,12.23,12.877,13.574,14.255,14.936,15.615,16.321,17.035,17.691,18.33,18.941,19.643,20.381,NPgN,Primary,NPg Reference Scenario,Total installed generation capacity (MW)
BELMONT,1.754,1.98,2.227,2.537,2.921,3.344,3.814,4.321,4.823,5.357,5.837,6.315,6.82,7.323,7.891,8.472,9.082,9.722,10.372,11.034,11.698,12.379,13.063,13.743,14.425,15.121,15.838,16.563,NPgN,Primary,NPg Reference Scenario,Total installed generation capacity (MW)
BENSHAM,0.551,0.71,0.877,1.08,1.319,1.58,1.859,2.159,2.479,2.822,3.142,3.488,3.833,4.147,4.509,4.871,5.258,5.657,6.072,6.491,6.918,7.343,7.776,8.212,8.639,9.083,9.532,9.995,NPgN,Primary,NPg Reference Scenario,Total installed generation capacity (MW)
