Primary,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,78.3,79.5,81.7,85.1,89.1,93.3,97.3,101.9,106,109.5,112.5,115.4,119.8,127.7,135.1,142.1,148.5,154.3,159.7,164.3,168.6,172.9,177.4,181.8,186.3,190.8,195.1,198.3,NPgN,Primary,NPg Reference Scenario,Peak utilisation (percent - whole number)
AMBERTON ROAD,62,73.8,78.9,86.6,88.3,90.1,91.9,94,96,97.7,99.3,100.7,102.8,106.9,110.8,114.5,117.9,121,123.9,126.4,128.8,131.2,133.5,135.8,138.1,140.5,142.9,144.9,NPgN,Primary,NPg Reference Scenario,Peak utilisation (percent - whole number)
ANNFIELD 66/20KV,71.1,71.8,73.3,75.6,78.6,81.9,85.1,88.7,92,95,97.7,100.3,104.3,111.9,118.8,125.2,131.1,136.6,141.6,145.9,150.1,154.2,158.4,162.1,165.4,168.4,171.3,173.6,NPgN,Primary,NPg Reference Scenario,Peak utilisation (percent - whole number)
ASHINGTON,66.4,66.7,67.4,68.7,70.7,73.1,75.3,77.4,79.3,80.9,82.3,83.7,86.4,92.9,99,104.6,110,114.9,119.5,123.4,127,130.8,134.9,138.6,142.3,145.5,148.7,151.2,NPgN,Primary,NPg Reference Scenario,Peak utilisation (percent - whole number)
AYCLIFFE FORREST,2.2,15.6,15.6,15.6,15.6,15.5,15.5,15.5,15.5,15.5,15.4,15.4,15.4,15.4,15.4,15.4,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.3,15.2,15.2,NPgN,Primary,NPg Reference Scenario,Peak utilisation (percent - whole number)
AYCLIFFE INDUSTRIAL,89.9,90.1,90.8,92.1,93.7,95.4,97.1,99.2,101.2,102.9,104.4,105.9,108.2,112.4,116.2,119.8,123.1,126.1,128.8,131.2,133.5,135.9,138.2,140.5,142.9,145.1,147.4,149.1,NPgN,Primary,NPg Reference Scenario,Peak utilisation (percent - whole number)
BARDEN FRIAR,212.3,213.8,215.6,217.9,220.7,223.7,226.8,230.1,233.3,236.6,239.8,243,248.6,262.9,276,288.5,300.7,312.5,323.8,334.3,344.6,354.9,365.5,374.4,381,387.5,394,400.4,NPgN,Primary,NPg Reference Scenario,Peak utilisation (percent - whole number)
BEDALE,78.4,80.1,80.7,81.6,82.9,84.4,85.9,87.4,88.8,90.3,91.7,93,95.2,100,104.4,108.6,112.6,116.5,120,123.1,126.1,129.2,132.4,135,137,138.6,140.2,141.6,NPgN,Primary,NPg Reference Scenario,Peak utilisation (percent - whole number)
BELMONT,68,71.5,71.4,71.5,71.7,71.9,72.1,72.4,72.8,73.1,73.4,73.7,74.1,74.7,75.3,75.8,76.3,76.7,77.1,77.4,77.8,78.1,78.5,78.8,79,79.3,79.5,79.7,NPgN,Primary,NPg Reference Scenario,Peak utilisation (percent - whole number)
BENSHAM,61,61.4,62,68.2,69.6,71,72.6,74.3,76.1,77.6,79,80.4,82.2,85.1,87.7,90.1,92.2,94.1,95.8,97.3,98.8,100.2,101.7,103.1,104.4,105.8,107.1,108,NPgN,Primary,NPg Reference Scenario,Peak utilisation (percent - whole number)
BENTON SQUARE,72,73.5,78.2,105.5,109.5,113.5,117.5,121.9,126,129.6,132.7,135.6,139.5,145.8,151.8,157.9,163.7,168.9,173.7,178,182,186,190.1,194.1,198.1,201.8,205.5,208.5,NPgN,Primary,NPg Reference Scenario,Peak utilisation (percent - whole number)
BENWELL,62.2,62.6,64.9,66.4,68.2,70.2,72.3,74.7,76.9,79,80.9,82.6,85.1,89.6,93.7,97.6,101.2,104.6,107.6,110.3,112.9,115.4,117.9,120.4,122.9,125.3,127.8,129.7,NPgN,Primary,NPg Reference Scenario,Peak utilisation (percent - whole number)
BILLINGHAM MARSH HOUSE,75.4,76.5,78.3,86.5,89.6,92.8,96.1,99.9,103.6,106.9,110.1,113.2,117.4,124.4,130.7,136.6,142.1,147.1,151.6,155.6,159.4,163.1,166.9,170.6,174.4,177.9,181.4,184.2,NPgN,Primary,NPg Reference Scenario,Peak utilisation (percent - whole number)
BILLY MILL,70,70.5,73.5,75.3,77.5,79.9,82.4,85.2,87.9,90.3,92.5,94.5,97.7,103.3,108.4,113.1,117.6,121.7,125.4,128.6,131.7,134.7,137.7,140.7,143.7,146.7,149.5,151.8,NPgN,Primary,NPg Reference Scenario,Peak utilisation (percent - whole number)
BIRTLEY GROVE 66/11KV,36.5,41.6,44.1,45.6,47.5,49.6,51.8,65,67.7,70.3,72.9,75.4,78.4,83,87,90.7,94,97,99.6,101.8,103.9,105.9,107.9,109.8,111.6,113.4,115.1,116.4,NPgN,Primary,NPg Reference Scenario,Peak utilisation (percent - whole number)
BIRTLEY GROVE 66/20KV,39.7,39.6,39.5,39.6,39.8,40,40.3,40.6,41,41.3,41.6,41.9,42.4,43.8,45,46.2,47.3,48.3,49.2,50,50.8,51.6,52.5,53.3,54.2,55,55.9,56.6,NPgN,Primary,NPg Reference Scenario,Peak utilisation (percent - whole number)
BLAYDON BURN,48.9,49.1,49.4,58.8,59.8,60.9,62.1,63.4,64.7,66,67.3,68.5,70.5,74.9,78.9,82.6,86.1,89.3,92.2,94.7,97.1,99.6,102.2,104.8,107.3,109.9,112.5,114.5,NPgN,Primary,NPg Reference Scenario,Peak utilisation (percent - whole number)
BLUCHER 33/11KV,59,60.7,65.5,68.3,71.5,75,78.7,82.7,86.7,90.3,93.6,96.8,100.9,107,112.6,117.9,122.7,127.1,130.9,134.3,137.3,140.3,143.3,146.2,149.1,151.9,154.6,156.7,NPgN,Primary,NPg Reference Scenario,Peak utilisation (percent - whole number)
BOLDON DOWNHILL,22.5,31.1,34.1,35.5,37.2,39,40.7,42.7,44.6,46.3,47.8,49.2,51.6,56.1,60.1,63.8,67.2,70.4,73.3,75.8,78.1,80.5,82.8,85.2,87.6,90,92.3,94,NPgN,Primary,NPg Reference Scenario,Peak utilisation (percent - whole number)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,28.5,29.6,31.2,33.4,36,39,42.2,45.8,49.6,53.3,56.8,60.3,64,68.7,73.2,77.1,80.7,83.8,86.6,88.8,90.8,92.8,94.8,96.4,97.7,98.9,100,101,NPgN,Primary,NPg Reference Scenario,Peak utilisation (percent - whole number)
