Primary,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,17.8,18.02,18.53,19.292,20.207,21.149,22.072,23.104,24.041,24.827,25.516,26.159,27.168,28.969,30.648,32.217,33.667,35.002,36.205,37.252,38.228,39.215,40.222,41.237,42.259,43.261,44.242,44.977,NPgN,Primary,NPg Reference Scenario,Total peak demand (MW)
AMBERTON ROAD,24.791,29.522,31.529,34.606,35.308,36.031,36.76,37.588,38.366,39.059,39.684,40.276,41.085,42.739,44.294,45.758,47.12,48.383,49.534,50.544,51.49,52.433,53.38,54.303,55.214,56.178,57.127,57.925,NPgN,Primary,NPg Reference Scenario,Total peak demand (MW)
ANNFIELD 66/20KV,19.884,20.089,20.506,21.16,21.997,22.903,23.803,24.812,25.751,26.577,27.337,28.051,29.186,31.311,33.231,35.022,36.685,38.228,39.623,40.834,41.987,43.142,44.319,45.342,46.279,47.119,47.932,48.573,NPgN,Primary,NPg Reference Scenario,Total peak demand (MW)
ASHINGTON,15.922,15.98,16.152,16.465,16.955,17.517,18.041,18.566,19.017,19.392,19.733,20.054,20.716,22.279,23.723,25.085,26.363,27.556,28.645,29.574,30.453,31.366,32.33,33.236,34.104,34.885,35.651,36.24,NPgN,Primary,NPg Reference Scenario,Total peak demand (MW)
AYCLIFFE FORREST,0.592,4.126,4.119,4.113,4.107,4.101,4.095,4.09,4.085,4.08,4.075,4.071,4.067,4.063,4.059,4.056,4.052,4.049,4.046,4.043,4.04,4.037,4.034,4.031,4.029,4.026,4.023,4.021,NPgN,Primary,NPg Reference Scenario,Total peak demand (MW)
AYCLIFFE INDUSTRIAL,16.315,16.346,16.474,16.707,17.004,17.314,17.63,18.004,18.358,18.668,18.954,19.223,19.638,20.396,21.089,21.737,22.334,22.887,23.384,23.816,24.236,24.656,25.08,25.503,25.926,26.341,26.749,27.066,NPgN,Primary,NPg Reference Scenario,Total peak demand (MW)
BARDEN FRIAR,1.172,1.181,1.19,1.203,1.219,1.235,1.252,1.27,1.288,1.306,1.324,1.342,1.373,1.452,1.524,1.593,1.661,1.726,1.788,1.846,1.903,1.96,2.018,2.067,2.104,2.139,2.176,2.211,NPgN,Primary,NPg Reference Scenario,Total peak demand (MW)
BEDALE,17.031,17.404,17.532,17.722,18.011,18.336,18.657,18.987,19.306,19.616,19.919,20.216,20.688,21.723,22.677,23.6,24.478,25.306,26.079,26.76,27.41,28.078,28.774,29.336,29.776,30.123,30.46,30.776,NPgN,Primary,NPg Reference Scenario,Total peak demand (MW)
BELMONT,21.726,22.858,22.838,22.864,22.917,22.978,23.054,23.162,23.274,23.374,23.468,23.559,23.684,23.881,24.062,24.23,24.383,24.521,24.644,24.75,24.864,24.977,25.088,25.184,25.273,25.351,25.425,25.488,NPgN,Primary,NPg Reference Scenario,Total peak demand (MW)
BENSHAM,18.496,18.608,18.804,20.694,21.112,21.544,22,22.544,23.071,23.545,23.969,24.368,24.929,25.807,26.591,27.307,27.956,28.542,29.055,29.494,29.951,30.393,30.829,31.252,31.669,32.073,32.463,32.759,NPgN,Primary,NPg Reference Scenario,Total peak demand (MW)
BENTON SQUARE,17.241,17.598,18.725,25.253,26.193,27.156,28.119,29.171,30.153,31.02,31.758,32.459,33.377,34.879,36.32,37.795,39.162,40.426,41.577,42.588,43.544,44.51,45.492,46.454,47.405,48.3,49.177,49.9,NPgN,Primary,NPg Reference Scenario,Total peak demand (MW)
BENWELL,17.988,18.122,18.791,19.217,19.742,20.32,20.914,21.602,22.264,22.863,23.396,23.9,24.631,25.933,27.112,28.244,29.292,30.265,31.146,31.924,32.655,33.379,34.107,34.831,35.556,36.27,36.971,37.531,NPgN,Primary,NPg Reference Scenario,Total peak demand (MW)
BILLINGHAM MARSH HOUSE,18.022,18.286,18.708,20.682,21.409,22.178,22.966,23.871,24.752,25.562,26.324,27.05,28.07,29.736,31.244,32.658,33.963,35.164,36.247,37.2,38.098,38.992,39.89,40.785,41.679,42.532,43.364,44.022,NPgN,Primary,NPg Reference Scenario,Total peak demand (MW)
BILLY MILL,16.798,16.93,17.635,18.074,18.61,19.182,19.764,20.448,21.102,21.677,22.194,22.678,23.439,24.796,26.004,27.154,28.217,29.199,30.084,30.863,31.595,32.319,33.045,33.766,34.488,35.196,35.888,36.421,NPgN,Primary,NPg Reference Scenario,Total peak demand (MW)
BIRTLEY GROVE 66/11KV,10.955,12.487,13.23,13.683,14.245,14.867,15.546,19.482,20.301,21.091,21.86,22.6,23.525,24.882,26.095,27.202,28.199,29.092,29.874,30.54,31.161,31.764,32.362,32.928,33.477,34,34.509,34.901,NPgN,Primary,NPg Reference Scenario,Total peak demand (MW)
BIRTLEY GROVE 66/20KV,11.097,11.058,11.042,11.063,11.122,11.187,11.261,11.352,11.446,11.534,11.617,11.699,11.846,12.233,12.589,12.919,13.225,13.505,13.759,13.978,14.201,14.426,14.658,14.897,15.139,15.379,15.618,15.807,NPgN,Primary,NPg Reference Scenario,Total peak demand (MW)
BLAYDON BURN,11.743,11.772,11.854,14.102,14.35,14.614,14.895,15.211,15.529,15.839,16.138,16.432,16.907,17.963,18.934,19.831,20.661,21.424,22.115,22.713,23.301,23.9,24.518,25.138,25.757,26.374,26.985,27.465,NPgN,Primary,NPg Reference Scenario,Total peak demand (MW)
BLUCHER 33/11KV,14.162,14.567,15.704,16.374,17.159,17.999,18.869,19.848,20.794,21.657,22.451,23.207,24.19,25.663,27.009,28.277,29.43,30.475,31.4,32.201,32.937,33.656,34.369,35.068,35.759,36.431,37.086,37.583,NPgN,Primary,NPg Reference Scenario,Total peak demand (MW)
BOLDON DOWNHILL,5.704,7.862,8.618,8.988,9.417,9.857,10.298,10.81,11.291,11.711,12.094,12.453,13.063,14.195,15.202,16.143,17.013,17.816,18.538,19.17,19.763,20.356,20.955,21.558,22.165,22.762,23.347,23.782,NPgN,Primary,NPg Reference Scenario,Total peak demand (MW)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,4.172,4.332,4.56,4.877,5.265,5.701,6.17,6.701,7.243,7.784,8.305,8.812,9.355,10.048,10.696,11.275,11.791,12.251,12.651,12.983,13.277,13.566,13.854,14.088,14.286,14.457,14.617,14.765,NPgN,Primary,NPg Reference Scenario,Total peak demand (MW)
BOWESFIELD 33/11KV,9.549,9.838,11.744,12.334,13.024,13.765,14.557,15.476,16.395,17.285,18.123,18.929,19.875,21.142,22.297,23.39,24.379,25.281,26.079,26.774,27.414,28.037,28.65,29.246,29.837,30.414,30.978,31.439,NPgN,Primary,NPg Reference Scenario,Total peak demand (MW)
BOWESFIELD 66/11KV,14.073,14.312,14.673,15.158,15.716,16.286,16.859,17.491,18.088,18.632,19.104,19.558,20.076,20.789,21.494,22.215,22.884,23.508,24.079,24.588,25.074,25.564,26.056,26.544,27.031,27.512,27.987,28.396,NPgN,Primary,NPg Reference Scenario,Total peak demand (MW)
BRANCEPETH,14.39,14.516,15.06,15.476,16.232,17.144,17.929,18.601,19.139,19.594,20.012,20.408,21.34,23.697,25.845,27.862,29.775,31.581,33.235,34.586,35.84,37.183,38.651,39.832,40.803,41.36,41.88,42.305,NPgN,Primary,NPg Reference Scenario,Total peak demand (MW)
BREAMISH STREET,9.583,9.626,10.639,12.897,13.112,13.357,13.614,13.92,14.217,14.497,14.74,14.97,15.256,15.673,16.048,16.422,16.766,17.088,17.377,17.634,17.873,18.105,18.332,18.548,18.761,18.968,19.171,19.342,NPgN,Primary,NPg Reference Scenario,Total peak demand (MW)
BRENDA TRADING,21.072,21.285,21.711,23.654,24.545,25.511,26.519,27.703,28.862,29.929,30.932,31.885,33.222,35.458,37.47,39.327,41.027,42.582,43.967,45.168,46.279,47.377,48.479,49.576,50.673,51.791,52.887,53.736,NPgN,Primary,NPg Reference Scenario,Total peak demand (MW)
CAMPLESHON ROAD,16.714,16.929,17.551,19.805,20.466,21.134,21.797,22.552,23.259,23.884,24.461,25.006,25.876,27.469,28.905,30.265,31.533,32.721,33.8,34.749,35.646,36.545,37.458,38.165,38.758,39.256,39.73,40.116,NPgN,Primary,NPg Reference Scenario,Total peak demand (MW)
CARLEY HILL,16.091,16.243,16.591,17.128,17.755,18.397,19.052,19.826,20.559,21.211,21.807,22.366,23.282,24.977,26.484,27.907,29.222,30.439,31.532,32.492,33.389,34.277,35.169,36.058,36.949,37.822,38.675,39.319,NPgN,Primary,NPg Reference Scenario,Total peak demand (MW)
CARLIN HOW T3 T4,15.589,15.763,16.115,16.678,17.557,18.596,19.541,20.461,21.259,21.952,22.58,23.171,24.328,26.891,29.208,31.41,33.485,35.438,37.22,38.716,40.1,41.547,43.089,44.221,45.093,45.652,46.176,46.608,NPgN,Primary,NPg Reference Scenario,Total peak demand (MW)
CARR HILL,17.396,17.565,17.93,18.523,19.277,20.085,20.909,21.881,22.808,23.626,24.368,25.06,26.19,28.214,30.001,31.653,33.176,34.577,35.83,36.925,37.983,39.03,40.084,41.135,42.188,43.221,44.232,44.991,NPgN,Primary,NPg Reference Scenario,Total peak demand (MW)
CATTERICK CAMP,16.544,16.846,17.324,17.993,18.842,19.744,20.624,21.56,22.423,23.207,24.014,24.786,25.87,27.744,29.477,31.117,32.66,34.118,35.457,36.63,37.732,38.852,40.011,40.957,41.765,42.411,43.035,43.593,NPgN,Primary,NPg Reference Scenario,Total peak demand (MW)
CLOSE,22.342,22.242,22.847,22.804,22.845,22.916,23.001,23.102,23.206,23.315,23.397,23.479,23.57,24.296,25,25.704,26.381,27.016,27.626,28.182,28.722,29.25,29.771,30.279,30.78,31.276,31.77,32.247,NPgN,Primary,NPg Reference Scenario,Total peak demand (MW)
CONEYTHORPE,12.961,14.619,16.751,17.191,17.694,18.214,18.74,19.344,19.917,20.438,20.915,21.368,22.001,23.054,24.018,24.906,25.726,26.486,27.17,27.765,28.319,28.871,29.429,29.907,30.315,30.712,31.097,31.413,NPgN,Primary,NPg Reference Scenario,Total peak demand (MW)
CONSETT,22.386,22.544,23.374,23.903,24.633,25.435,26.222,27.07,27.86,28.578,29.253,29.896,30.927,32.999,34.888,36.648,38.289,39.818,41.206,42.393,43.531,44.69,45.891,46.952,47.926,48.763,49.576,50.234,NPgN,Primary,NPg Reference Scenario,Total peak demand (MW)
CORPORATION STREET,12.496,12.444,12.441,12.488,12.562,12.658,12.764,12.91,13.051,13.184,13.297,13.404,13.548,13.769,13.962,14.151,14.322,14.482,14.621,14.741,14.85,14.954,15.053,15.144,15.232,15.317,15.399,15.464,NPgN,Primary,NPg Reference Scenario,Total peak demand (MW)
COWTON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NPg Reference Scenario,Total peak demand (MW)
