Primary,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,78709.2,79592.604,81318.274,83901.346,87025.609,90247.529,93412.851,96957.837,100198.282,102911.858,105273.015,107484.875,110931.781,117124.072,122894.453,128262.423,133220.155,137793.121,141918.451,145509.186,148827.079,152185.439,155607.036,159056.129,162528.967,165926.102,169250.373,171746.072,NPgN,Primary,NPg Reference Scenario,Total demand (MWh)
AMBERTON ROAD,122899.536,133381.39,138214.983,145798.335,148535.778,151390.721,154327.833,157732.666,160985.398,163929.864,166612.915,169168.788,172575.582,179176.496,185346.174,191116.876,196440.457,201348.066,205789.395,209666.579,213260.501,216812.02,220364.091,223828.846,227249.708,230915.648,234506.971,237503.726,NPgN,Primary,NPg Reference Scenario,Total demand (MWh)
ANNFIELD 66/20KV,97187.07,97924.478,99370.734,101701.043,104800.659,108215.032,111663.343,115543.782,119234.729,122578.318,125715.792,128696.614,133268.31,141940.267,149777.936,157062.548,163816.154,170074.347,175733.226,180648.743,185345.279,190054.77,194844.352,199046.688,202916.3,206406.389,209790.088,212498.628,NPgN,Primary,NPg Reference Scenario,Total demand (MWh)
ASHINGTON,85752.758,86693.161,88381.624,91071.864,94692.065,98742.95,102743.036,107118.513,111135.635,114653.722,117897.938,120953.944,125489.687,133455.165,140747.332,147596.988,153920.999,159772.954,165034.055,169537.771,173766.717,178029.564,182389.476,186386.269,190166.45,193551.336,196827.446,199370.019,NPgN,Primary,NPg Reference Scenario,Total demand (MWh)
AYCLIFFE FORREST,3134.868,10852.812,10817.024,10783.054,10750.795,10720.127,10690.986,10663.397,10637.182,10612.367,10588.765,10566.275,10544.823,10524.687,10505.341,10486.756,10468.887,10451.735,10435.145,10419.054,10403.447,10388.264,10373.443,10358.9,10344.602,10330.49,10316.503,10302.583,NPgN,Primary,NPg Reference Scenario,Total demand (MWh)
AYCLIFFE INDUSTRIAL,61122.973,61319.686,61844.903,62762.969,63952.185,65232.964,66585.185,68198.043,69784.606,71245.442,72633.418,73960.188,75764.169,78760.748,81486.188,84004.309,86303.919,88405.077,90280.225,91898.674,93454.64,94999.186,96544.993,98075.064,99600.945,101092.134,102550.89,103699.572,NPgN,Primary,NPg Reference Scenario,Total demand (MWh)
BARDEN FRIAR,6016.138,6080.48,6176.587,6306.782,6458.85,6620.062,6788.02,6984.981,7182.221,7383.808,7584.072,7778.567,8034.732,8483.269,8886.065,9264.441,9623.96,9972.052,10295.91,10593.303,10880.246,11165.852,11451.99,11688.635,11863.361,12034.184,12203.989,12368.812,NPgN,Primary,NPg Reference Scenario,Total demand (MWh)
BEDALE,85556.409,87272.867,88724.398,90793.233,93473.496,96439.452,99557.491,103063.068,106580.216,110043.321,113415.457,116683.57,120753.143,127064.713,132788.564,138275.415,143353.806,148075.461,152352.37,156096.529,159595.794,163082.445,166599.435,169411.529,171624.169,173385.985,175069.964,176639.303,NPgN,Primary,NPg Reference Scenario,Total demand (MWh)
BELMONT,118596.328,121695.39,122863.711,124729.673,127100.561,129583.498,132075.883,134849.288,137445.132,139769.638,141927.312,143989.579,147000.497,152469.159,157528.336,162254.919,166637.114,170709.549,174389.254,177556.496,180716.887,183919.162,187208.479,190093.583,192761.226,195070.776,197309.994,199160.009,NPgN,Primary,NPg Reference Scenario,Total demand (MWh)
BENSHAM,64354.056,65329.873,66458.146,71517.36,73542.304,75618.332,77854.968,80472.03,83088.484,85552.439,87819.434,89984.917,92682.129,96564.416,100029.006,103165.733,105982.904,108507.179,110706.314,112586.658,114572.852,116468.787,118310.346,120088.107,121830.126,123516.227,125147.939,126441.35,NPgN,Primary,NPg Reference Scenario,Total demand (MWh)
BENTON SQUARE,83273.979,84651.656,87979.319,103479.389,107023.204,110738.483,114574.327,118851.538,123000.653,126819.761,130138.613,133328.352,137212.822,143215.938,148912.604,154777.725,160179.11,165143.713,169653.517,173615.836,177338.079,181065.063,184823.583,188493.007,192115.423,195542,198894.182,201716.933,NPgN,Primary,NPg Reference Scenario,Total demand (MWh)
BENWELL,91054.54,91549.834,93466.242,95176.944,97353.055,99839.735,102501.633,105648.186,108793.629,111742.98,114433.55,117008.727,120406.673,125886.682,130823.113,135525.335,139830.87,143778.876,147311.477,150409.289,153286.413,156101.957,158903.606,161675.487,164438.65,167150.593,169805.906,171925.754,NPgN,Primary,NPg Reference Scenario,Total demand (MWh)
BILLINGHAM MARSH HOUSE,76550.337,77920.034,79898.662,85764.021,89327.388,93331.299,97725.598,102904.717,108259.729,113506.513,118642.931,123606.222,129563.25,137752.806,145097.306,151840.272,157916.195,163358.24,168157.891,172292.175,176080.607,179774.76,183414.721,186984.573,190516.615,193867.041,197118.365,199698.621,NPgN,Primary,NPg Reference Scenario,Total demand (MWh)
BILLY MILL,88064.52,88465.045,90307.51,91820.688,93754.18,95900.369,98181.916,100914.372,103638.721,106139.706,108459.518,110666.587,113774.571,118946.859,123553.291,127917.812,131920.565,135586.739,138870.989,141747.026,144420.784,147055.879,149679.816,152273.317,154856.776,157387.653,159858.496,161790.642,NPgN,Primary,NPg Reference Scenario,Total demand (MWh)
