Primary,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,1.7,1.925,2.116,2.382,2.992,3.601,4.211,4.81,5.4,5.98,6.592,7.195,7.807,8.418,9.025,9.684,10.366,11.024,11.683,12.35,13.015,13.679,14.344,15.008,15.673,16.338,17.002,17.667,18.331,18.996,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
AMBERTON ROAD,1.59,1.741,1.903,2.126,2.646,3.158,3.672,4.177,4.674,5.162,5.678,6.185,6.701,7.216,7.727,8.282,8.857,9.412,9.966,10.529,11.088,11.648,12.208,12.768,13.328,13.888,14.448,15.007,15.567,16.127,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
ANNFIELD 66/20KV,1.719,1.903,2.099,2.37,2.992,3.614,4.237,4.849,5.451,6.044,6.67,7.285,7.911,8.535,9.155,9.829,10.526,11.199,11.871,12.553,13.232,13.911,14.59,15.269,15.948,16.628,17.307,17.986,18.665,19.344,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
ASHINGTON,2.261,2.537,2.83,3.237,4.158,5.091,6.026,6.945,7.848,8.737,9.676,10.6,11.539,12.475,13.405,14.415,15.462,16.471,17.48,18.503,19.522,20.541,21.56,22.578,23.597,24.616,25.635,26.654,27.673,28.691,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
AYCLIFFE INDUSTRIAL,0.823,0.899,0.98,1.093,1.355,1.613,1.871,2.125,2.375,2.62,2.88,3.135,3.394,3.653,3.91,4.189,4.479,4.757,5.036,5.319,5.6,5.882,6.164,6.445,6.727,7.008,7.29,7.571,7.853,8.134,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
BARDEN FRIAR,0.051,0.059,0.068,0.079,0.105,0.132,0.158,0.184,0.21,0.236,0.262,0.289,0.315,0.342,0.369,0.397,0.427,0.456,0.485,0.514,0.543,0.572,0.601,0.63,0.659,0.688,0.717,0.746,0.775,0.804,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
BEDALE,1.342,1.467,1.601,1.786,2.216,2.64,3.064,3.482,3.892,4.296,4.723,5.142,5.569,5.994,6.417,6.875,7.351,7.809,8.268,8.732,9.195,9.658,10.121,10.583,11.046,11.509,11.972,12.435,12.897,13.36,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
BELMONT,1.305,1.436,1.576,1.77,2.218,2.662,3.107,3.545,3.976,4.399,4.847,5.287,5.734,6.18,6.623,7.104,7.603,8.084,8.564,9.052,9.537,10.023,10.508,10.993,11.479,11.964,12.45,12.935,13.42,13.906,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
BENSHAM,0.344,0.444,0.55,0.698,1.013,1.351,1.69,2.023,2.351,2.673,3.013,3.348,3.688,4.028,4.365,4.731,5.111,5.476,5.842,6.213,6.582,6.952,7.321,7.69,8.06,8.429,8.798,9.167,9.537,9.906,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
BENTON SQUARE,1.514,1.652,1.798,2.002,2.476,2.943,3.41,3.869,4.321,4.765,5.234,5.696,6.165,6.633,7.098,7.602,8.125,8.629,9.134,9.645,10.154,10.663,11.172,11.682,12.191,12.7,13.209,13.718,14.227,14.736,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
BENWELL,0.959,1.089,1.227,1.419,1.849,2.289,2.73,3.164,3.59,4.009,4.452,4.888,5.33,5.772,6.211,6.687,7.181,7.657,8.133,8.615,9.096,9.577,10.057,10.538,11.018,11.499,11.979,12.46,12.94,13.421,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
BILLINGHAM MARSH HOUSE,2.212,2.368,2.535,2.765,3.322,3.85,4.38,4.9,5.411,5.914,6.446,6.968,7.5,8.03,8.557,9.128,9.721,10.292,10.863,11.442,12.019,12.595,13.172,13.749,14.325,14.902,15.479,16.055,16.632,17.209,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
BILLY MILL,1.437,1.558,1.687,1.865,2.287,2.696,3.107,3.51,3.907,4.297,4.709,5.115,5.527,5.938,6.347,6.79,7.249,7.692,8.135,8.584,9.032,9.479,9.926,10.374,10.821,11.268,11.715,12.163,12.61,13.057,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
BIRTLEY GROVE 66/11KV,0.987,1.078,1.176,1.312,1.627,1.938,2.249,2.555,2.856,3.152,3.465,3.773,4.085,4.397,4.707,5.043,5.392,5.728,6.064,6.405,6.744,7.083,7.423,7.762,8.101,8.441,8.78,9.119,9.458,9.798,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
BIRTLEY GROVE 66/20KV,0.376,0.43,0.487,0.566,0.743,0.925,1.108,1.287,1.463,1.637,1.82,2,2.183,2.366,2.547,2.744,2.948,3.145,3.342,3.541,3.74,3.939,4.137,4.336,4.535,4.733,4.932,5.131,5.33,5.528,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
BLAYDON BURN,0.661,0.778,0.903,1.076,1.457,1.854,2.252,2.644,3.029,3.407,3.808,4.201,4.601,5,5.396,5.826,6.272,6.702,7.132,7.567,8.001,8.435,8.869,9.303,9.737,10.171,10.605,11.039,11.473,11.907,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
BLUCHER 33/11KV,1.087,1.216,1.353,1.543,1.974,2.41,2.847,3.276,3.698,4.113,4.552,4.983,5.422,5.859,6.294,6.765,7.254,7.725,8.197,8.675,9.15,9.626,10.102,10.578,11.054,11.53,12.006,12.481,12.957,13.433,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
BOLDON DOWNHILL,1.748,1.849,1.957,2.107,2.481,2.825,3.169,3.507,3.84,4.167,4.512,4.852,5.198,5.542,5.885,6.256,6.642,7.013,7.384,7.761,8.136,8.51,8.885,9.26,9.635,10.01,10.385,10.76,11.135,11.51,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,0.457,0.497,0.54,0.6,0.739,0.875,1.012,1.146,1.278,1.408,1.545,1.68,1.817,1.954,2.089,2.237,2.39,2.537,2.685,2.834,2.983,3.132,3.28,3.429,3.578,3.727,3.876,4.024,4.173,4.322,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
BOWESFIELD 33/11KV,0.519,0.617,0.72,0.864,1.179,1.509,1.839,2.164,2.484,2.798,3.13,3.457,3.789,4.12,4.449,4.806,5.176,5.533,5.89,6.251,6.612,6.972,7.332,7.692,8.053,8.413,8.773,9.134,9.494,9.854,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
BOWESFIELD 66/11KV,0.752,0.824,0.901,1.008,1.255,1.5,1.745,1.986,2.222,2.455,2.701,2.943,3.189,3.435,3.678,3.943,4.217,4.481,4.746,5.014,5.281,5.548,5.815,6.082,6.349,6.615,6.882,7.149,7.416,7.683,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
BRANCEPETH,2.281,2.489,2.711,3.019,3.737,4.443,5.149,5.844,6.527,7.2,7.909,8.607,9.317,10.026,10.729,11.492,12.284,13.046,13.809,14.583,15.353,16.124,16.894,17.664,18.434,19.205,19.975,20.745,21.516,22.286,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
BREAMISH STREET,0.11,0.16,0.214,0.288,0.443,0.613,0.783,0.95,1.114,1.276,1.446,1.614,1.785,1.955,2.124,2.308,2.498,2.681,2.865,3.051,3.236,3.421,3.606,3.791,3.976,4.162,4.347,4.532,4.717,4.902,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
BRENDA TRADING,1.762,1.939,2.129,2.391,2.997,3.599,4.202,4.795,5.378,5.952,6.558,7.153,7.759,8.364,8.964,9.616,10.291,10.942,11.593,12.253,12.91,13.568,14.225,14.883,15.54,16.197,16.855,17.512,18.169,18.827,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
CAMPLESHON ROAD,1.491,1.623,1.765,1.961,2.419,2.869,3.319,3.761,4.196,4.624,5.076,5.521,5.973,6.424,6.872,7.358,7.862,8.348,8.834,9.326,9.817,10.307,10.798,11.288,11.779,12.269,12.76,13.25,13.741,14.231,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
CARLEY HILL,1.21,1.363,1.525,1.75,2.258,2.774,3.291,3.8,4.3,4.791,5.311,5.822,6.341,6.859,7.374,7.933,8.512,9.07,9.628,10.194,10.757,11.321,11.885,12.448,13.012,13.576,14.139,14.703,15.266,15.83,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
CARLIN HOW T3 T4,1.625,1.791,1.967,2.211,2.774,3.334,3.896,4.447,4.99,5.524,6.087,6.641,7.205,7.768,8.326,8.932,9.561,10.166,10.772,11.386,11.998,12.61,13.221,13.833,14.444,15.056,15.668,16.279,16.891,17.503,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
CARR HILL,1.447,1.632,1.829,2.102,2.716,3.343,3.97,4.587,5.193,5.789,6.419,7.039,7.669,8.298,8.922,9.599,10.302,10.978,11.656,12.342,13.026,13.709,14.393,15.077,15.76,16.444,17.127,17.811,18.495,19.178,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
CATTERICK CAMP,1.348,1.552,1.769,2.069,2.737,3.426,4.116,4.795,5.463,6.119,6.813,7.495,8.188,8.88,9.567,10.313,11.086,11.832,12.577,13.333,14.085,14.838,15.59,16.343,17.095,17.848,18.6,19.353,20.106,20.858,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
CLOSE,0.125,0.165,0.207,0.266,0.391,0.526,0.66,0.793,0.923,1.051,1.187,1.32,1.455,1.59,1.724,1.87,2.021,2.166,2.312,2.459,2.606,2.753,2.9,3.047,3.194,3.341,3.488,3.635,3.781,3.928,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
CONEYTHORPE,0.985,1.081,1.182,1.323,1.65,1.973,2.296,2.614,2.927,3.235,3.56,3.88,4.205,4.529,4.851,5.2,5.563,5.912,6.261,6.615,6.968,7.321,7.673,8.026,8.379,8.731,9.084,9.437,9.789,10.142,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
CONSETT,2.046,2.258,2.484,2.798,3.518,4.237,4.956,5.664,6.359,7.044,7.767,8.477,9.2,9.922,10.638,11.415,12.221,12.998,13.775,14.562,15.347,16.131,16.915,17.7,18.484,19.268,20.053,20.837,21.622,22.406,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
CORPORATION STREET,0.088,0.126,0.167,0.224,0.343,0.473,0.603,0.731,0.857,0.981,1.112,1.24,1.371,1.502,1.631,1.772,1.918,2.059,2.199,2.342,2.484,2.626,2.768,2.91,3.052,3.193,3.335,3.477,3.619,3.761,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
COWTON,0.247,0.263,0.281,0.306,0.367,0.424,0.481,0.537,0.592,0.646,0.703,0.76,0.817,0.874,0.931,0.993,1.057,1.118,1.18,1.242,1.304,1.367,1.429,1.491,1.553,1.615,1.678,1.74,1.802,1.864,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
CRAMLINGTON T1 T3,0.635,0.704,0.779,0.881,1.116,1.351,1.587,1.819,2.047,2.272,2.509,2.742,2.979,3.215,3.45,3.705,3.969,4.223,4.478,4.736,4.993,5.251,5.508,5.765,6.022,6.279,6.536,6.793,7.05,7.307,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
CRAMLINGTON T2 T4,0.486,0.552,0.622,0.72,0.938,1.162,1.386,1.606,1.822,2.035,2.26,2.482,2.707,2.931,3.154,3.396,3.646,3.888,4.13,4.375,4.619,4.863,5.107,5.351,5.595,5.84,6.084,6.328,6.572,6.816,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
DARLEY,0.394,0.432,0.472,0.528,0.657,0.785,0.913,1.038,1.162,1.284,1.412,1.539,1.667,1.795,1.923,2.061,2.204,2.342,2.48,2.62,2.76,2.899,3.039,3.178,3.317,3.457,3.596,3.736,3.875,4.015,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
DARLINGTON 132/6KV,0.75,0.81,0.873,0.962,1.172,1.374,1.577,1.776,1.972,2.165,2.369,2.569,2.773,2.977,3.178,3.398,3.625,3.844,4.063,4.285,4.506,4.727,4.948,5.169,5.39,5.611,5.832,6.053,6.275,6.496,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
DARLINGTON 33/11KV,0.928,1.033,1.144,1.298,1.649,2.002,2.355,2.703,3.045,3.381,3.736,4.085,4.44,4.795,5.146,5.528,5.924,6.306,6.688,7.075,7.46,7.845,8.231,8.616,9.001,9.387,9.772,10.157,10.543,10.928,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
DARLINGTON CENTRAL 33/11KV,0.409,0.454,0.503,0.57,0.722,0.876,1.03,1.181,1.329,1.476,1.63,1.782,1.936,2.09,2.243,2.41,2.582,2.748,2.914,3.082,3.249,3.417,3.585,3.752,3.92,4.087,4.255,4.422,4.59,4.758,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
DARLINGTON EAST,1.074,1.149,1.23,1.341,1.611,1.866,2.122,2.374,2.622,2.865,3.122,3.375,3.632,3.889,4.143,4.42,4.707,4.983,5.259,5.54,5.819,6.098,6.377,6.656,6.935,7.214,7.493,7.772,8.051,8.33,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
DARLINGTON WEST,1.229,1.369,1.518,1.725,2.196,2.671,3.146,3.613,4.073,4.525,5.003,5.472,5.95,6.426,6.899,7.412,7.945,8.458,8.971,9.491,10.009,10.527,11.046,11.564,12.082,12.6,13.118,13.636,14.154,14.672,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
DENWICK,1.862,2.066,2.284,2.585,3.274,3.966,4.658,5.339,6.009,6.668,7.363,8.047,8.743,9.437,10.126,10.875,11.65,12.398,13.145,13.903,14.658,15.413,16.168,16.923,17.678,18.433,19.188,19.942,20.697,21.452,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
DUNSTON 66/11KV,0.434,0.501,0.572,0.671,0.889,1.115,1.341,1.564,1.783,1.998,2.225,2.449,2.676,2.903,3.128,3.372,3.626,3.87,4.114,4.362,4.608,4.855,5.102,5.348,5.595,5.842,6.088,6.335,6.582,6.828,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
DUNSTON 66/20KV,0.991,1.126,1.271,1.471,1.918,2.377,2.837,3.289,3.733,4.17,4.632,5.085,5.547,6.008,6.465,6.961,7.476,7.972,8.468,8.971,9.472,9.973,10.474,10.975,11.476,11.976,12.477,12.978,13.479,13.98,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
DURHAM EAST,0.419,0.464,0.513,0.581,0.735,0.89,1.045,1.197,1.347,1.495,1.651,1.804,1.959,2.115,2.269,2.437,2.61,2.778,2.945,3.115,3.284,3.453,3.622,3.791,3.96,4.129,4.298,4.467,4.636,4.805,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
EASTFIELD,1.453,1.592,1.74,1.944,2.42,2.89,3.361,3.823,4.278,4.726,5.199,5.663,6.136,6.608,7.076,7.585,8.112,8.62,9.128,9.643,10.156,10.669,11.182,11.695,12.208,12.721,13.234,13.747,14.26,14.773,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
EASTGATE CEMENT,0.46,0.493,0.529,0.578,0.696,0.808,0.921,1.032,1.141,1.248,1.361,1.472,1.585,1.698,1.81,1.932,2.058,2.18,2.301,2.424,2.547,2.67,2.793,2.916,3.038,3.161,3.284,3.407,3.529,3.652,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
EDUCATIONAL PRECINCT,0.178,0.242,0.311,0.406,0.608,0.826,1.045,1.26,1.471,1.679,1.899,2.115,2.334,2.554,2.771,3.007,3.252,3.488,3.724,3.964,4.202,4.44,4.679,4.917,5.155,5.394,5.632,5.871,6.109,6.347,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
ELVINGTON,0.657,0.684,0.712,0.751,0.855,0.944,1.034,1.121,1.207,1.292,1.382,1.47,1.559,1.648,1.737,1.833,1.933,2.029,2.125,2.223,2.32,2.417,2.514,2.611,2.709,2.806,2.903,3,3.097,3.194,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
FARADAY STREET,0.562,0.716,0.881,1.11,1.599,2.123,2.647,3.163,3.67,4.169,4.696,5.215,5.742,6.268,6.79,7.357,7.944,8.51,9.077,9.651,10.223,10.795,11.367,11.939,12.511,13.083,13.655,14.227,14.798,15.37,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
FAWDON T1 & SEATON BURN T1,1.842,2.017,2.203,2.462,3.062,3.655,4.249,4.833,5.407,5.971,6.568,7.154,7.751,8.346,8.936,9.578,10.243,10.884,11.525,12.175,12.822,13.469,14.116,14.763,15.41,16.058,16.705,17.352,17.999,18.646,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
FISHBURN,1.535,1.71,1.896,2.154,2.741,3.333,3.925,4.507,5.08,5.644,6.239,6.824,7.419,8.013,8.602,9.243,9.906,10.545,11.185,11.833,12.479,13.125,13.771,14.416,15.062,15.708,16.354,16.999,17.645,18.291,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
FLATWORTH CENTRAL,0.733,0.802,0.875,0.976,1.211,1.442,1.674,1.902,2.127,2.347,2.58,2.809,3.042,3.275,3.506,3.756,4.016,4.266,4.517,4.771,5.024,5.276,5.529,5.782,6.035,6.288,6.541,6.793,7.046,7.299,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
FOSS ISLANDS,0.836,0.98,1.132,1.344,1.809,2.294,2.78,3.258,3.727,4.189,4.677,5.157,5.645,6.132,6.616,7.141,7.685,8.209,8.734,9.265,9.795,10.324,10.854,11.384,11.913,12.443,12.972,13.502,14.031,14.561,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
FOSSWAY 33/11KV,0.437,0.583,0.739,0.954,1.411,1.905,2.399,2.885,3.363,3.833,4.33,4.818,5.315,5.81,6.302,6.836,7.39,7.924,8.457,8.998,9.537,10.076,10.615,11.154,11.693,12.232,12.771,13.309,13.848,14.387,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
FOURSTONES 20KV,2.087,2.23,2.382,2.593,3.105,3.589,4.073,4.549,5.017,5.477,5.964,6.442,6.928,7.414,7.895,8.419,8.961,9.483,10.006,10.536,11.064,11.591,12.119,12.647,13.175,13.702,14.23,14.758,15.285,15.813,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
FYLANDS BRIDGE,1.387,1.555,1.734,1.982,2.543,3.112,3.682,4.242,4.793,5.335,5.907,6.47,7.042,7.613,8.18,8.795,9.433,10.048,10.663,11.287,11.908,12.529,13.15,13.771,14.392,15.013,15.634,16.255,16.876,17.497,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
GALE LANE,2.019,2.157,2.305,2.509,3.006,3.476,3.946,4.408,4.862,5.309,5.781,6.245,6.717,7.188,7.656,8.164,8.69,9.197,9.705,10.219,10.731,11.244,11.756,12.268,12.78,13.293,13.805,14.317,14.829,15.342,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
GARWOOD STREET,0.954,1.071,1.196,1.369,1.76,2.157,2.554,2.945,3.329,3.707,4.106,4.498,4.897,5.295,5.691,6.12,6.565,6.994,7.423,7.857,8.29,8.724,9.157,9.59,10.023,10.456,10.889,11.322,11.755,12.188,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
GATESHEAD CENTRAL,0.126,0.175,0.228,0.301,0.454,0.622,0.789,0.954,1.115,1.275,1.443,1.608,1.776,1.944,2.111,2.292,2.479,2.66,2.84,3.024,3.206,3.388,3.571,3.753,3.936,4.118,4.301,4.483,4.666,4.848,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
GATESHEAD EAST,0.021,0.028,0.036,0.046,0.068,0.092,0.116,0.139,0.162,0.185,0.209,0.232,0.256,0.28,0.303,0.329,0.356,0.382,0.407,0.433,0.459,0.485,0.511,0.537,0.563,0.589,0.615,0.641,0.667,0.693,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
GOSFORTH 33/11KV,0.365,0.416,0.472,0.548,0.718,0.894,1.069,1.242,1.411,1.578,1.755,1.928,2.104,2.28,2.455,2.644,2.841,3.03,3.22,3.412,3.603,3.794,3.986,4.177,4.368,4.559,4.751,4.942,5.133,5.325,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
GRANGETOWN,0.899,1.052,1.216,1.443,1.942,2.463,2.984,3.497,4.001,4.497,5.02,5.535,6.059,6.581,7.1,7.663,8.247,8.81,9.373,9.943,10.512,11.08,11.648,12.216,12.785,13.353,13.921,14.489,15.058,15.626,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
GREATHAM,0.159,0.173,0.189,0.21,0.259,0.307,0.356,0.403,0.45,0.496,0.545,0.593,0.641,0.69,0.738,0.79,0.844,0.897,0.949,1.002,1.055,1.108,1.16,1.213,1.266,1.319,1.371,1.424,1.477,1.53,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
GUISBOROUGH T1 T2,2.303,2.51,2.73,3.036,3.75,4.451,5.153,5.843,6.521,7.189,7.894,8.587,9.292,9.995,10.694,11.452,12.238,12.995,13.753,14.521,15.286,16.051,16.816,17.581,18.346,19.111,19.876,20.641,21.406,22.171,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
GUISBOROUGH T3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
HARLOW GREEN,0.949,1.11,1.281,1.518,2.039,2.582,3.127,3.662,4.188,4.705,5.252,5.789,6.336,6.882,7.423,8.011,8.621,9.208,9.795,10.391,10.984,11.577,12.17,12.764,13.357,13.95,14.543,15.136,15.73,16.323,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
HARMIRE BRIDGE,1.351,1.449,1.553,1.698,2.046,2.378,2.71,3.037,3.359,3.675,4.008,4.337,4.671,5.004,5.334,5.693,6.065,6.424,6.783,7.147,7.509,7.871,8.233,8.596,8.958,9.32,9.682,10.044,10.407,10.769,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
HARRATON,1.928,2.025,2.128,2.271,2.638,2.966,3.295,3.618,3.935,4.248,4.578,4.902,5.232,5.561,5.888,6.243,6.611,6.965,7.32,7.68,8.038,8.396,8.754,9.112,9.47,9.828,10.186,10.544,10.902,11.26,NPgN,Primary,NPg Planning Scenario,Total installed PV capacity - domestic (MW)
