E06000001,"Hartlepool"
E06000002,"Middlesbrough"
E06000003,"Redcar and Cleveland"
E06000004,"Stockton-on-Tees"
E06000005,"Darlington"
E06000010,"Kingston upon Hull, City of"
E06000011,"East Riding of Yorkshire"
E06000012,"North East Lincolnshire"
E06000013,"North Lincolnshire"
E06000014,"York"
E06000047,"County Durham"
E06000053,"Isles of Scilly"
E06000057,"Northumberland"
E07000037,"High Peak"
E07000038,"North East Derbyshire"
E07000122,"Pendle"
E07000137,"East Lindsey"
E07000142,"West Lindsey"
E07000163,"Craven"
E07000164,"Hambleton"
E07000165,"Harrogate"
E07000166,"Richmondshire"
E07000167,"Ryedale"
E07000168,"Scarborough"
E07000169,"Selby"
E07000171,"Bassetlaw"
E08000016,"Barnsley"
E08000017,"Doncaster"
E08000018,"Rotherham"
E08000037,"Gateshead"
E08000019,"Sheffield"
E08000021,"Newcastle upon Tyne"
E08000022,"North Tyneside"
E08000023,"South Tyneside"
E08000024,"Sunderland"
E08000032,"Bradford"
E08000033,"Calderdale"
E08000034,"Kirklees"
E08000035,"Leeds"
E08000036,"Wakefield"
